snapshot_ts,snapshot_date,id,web_name,team,element_type,now_cost,cost_change_event,cost_change_start,selected_by_percent,transfers_in_event,transfers_out_event,transfers_in,transfers_out,status,chance_of_playing_this_round,chance_of_playing_next_round,form,total_points,event_points,minutes,starts,expected_goals,expected_assists,expected_goal_involvements,defensive_contribution,bps,bonus,news
2026-07-27T17:41:44.590079+00:00,2026-07-27,32,Cash,2,2,45,0,0,8.1,0,0,0,0,a,,,0.0,117,0,3016,34,1.14,2.94,4.08,0,450,7,
2026-07-27T17:41:44.590079+00:00,2026-07-27,33,Mings,2,2,45,0,0,0.2,0,0,0,0,a,,,0.0,50,0,1322,15,1.30,0.42,1.72,0,169,4,
2026-07-27T17:41:44.590079+00:00,2026-07-27,34,Pau,2,2,45,0,0,0.2,0,0,0,0,a,,,0.0,64,0,1673,18,1.33,0.39,1.72,0,280,2,
2026-07-27T17:41:44.590079+00:00,2026-07-27,35,Bogarde,2,3,50,0,0,0.1,0,0,0,0,a,,,0.0,40,0,1042,11,0.00,0.20,0.20,0,121,4,
2026-07-27T17:41:44.590079+00:00,2026-07-27,36,Maatsen,2,2,45,0,0,0.6,0,0,0,0,a,,,0.0,54,0,1590,17,1.26,2.39,3.65,0,242,1,
2026-07-27T17:41:44.590079+00:00,2026-07-27,37,Lindelöf,2,2,45,0,0,0.2,0,0,0,0,a,,,0.0,29,0,942,11,0.28,0.10,0.38,0,124,0,
2026-07-27T17:41:44.590079+00:00,2026-07-27,38,A.García,2,2,40,0,0,1.5,0,0,0,0,a,,,0.0,5,0,83,1,0.00,0.01,0.01,0,12,0,
2026-07-27T17:41:44.590079+00:00,2026-07-27,39,Nedeljkovic,2,2,40,0,0,0.4,0,0,0,0,a,,,0.0,0,0,0,0,0.00,0.00,0.00,0,0,0,
2026-07-27T17:41:44.590079+00:00,2026-07-27,41,Buendía,2,3,60,0,0,0.8,0,0,0,0,a,,,0.0,102,0,1753,21,3.38,2.23,5.61,0,382,10,
2026-07-27T17:41:44.590079+00:00,2026-07-27,42,Guessand,2,3,55,0,0,0.0,0,0,0,0,a,,,0.0,44,0,909,9,1.56,0.85,2.41,0,143,0,
2026-07-27T17:41:44.590079+00:00,2026-07-27,44,Bailey,2,3,55,0,0,0.1,0,0,0,0,a,,,0.0,21,0,450,3,0.50,1.46,1.96,0,69,0,
2026-07-27T17:41:44.590079+00:00,2026-07-27,45,McGinn,2,3,55,0,0,2.7,0,0,0,0,a,,,0.0,103,0,2136,28,3.00,4.11,7.11,0,443,6,
2026-07-27T17:41:44.590079+00:00,2026-07-27,46,Barkley,2,3,50,0,0,0.2,0,0,0,0,a,,,0.0,56,0,844,7,1.58,1.26,2.84,0,221,5,
2026-07-27T17:41:44.590079+00:00,2026-07-27,47,Kamara,2,3,50,0,0,0.1,0,0,0,0,d,,75,0.0,61,0,1410,17,0.53,0.84,1.36,0,282,7,Knee injury - 75% chance of playing
2026-07-27T17:41:44.590079+00:00,2026-07-27,48,Onana,2,3,50,0,0,0.0,0,0,0,0,i,,0,0.0,76,0,1755,21,1.68,0.69,2.37,0,353,4,Knee injury - Unknown return date
2026-07-27T17:41:44.590079+00:00,2026-07-27,49,Iling Jr,2,3,50,0,0,0.0,0,0,0,0,a,,,0.0,0,0,0,0,0.00,0.00,0.00,0,0,0,
2026-07-27T17:41:44.590079+00:00,2026-07-27,50,Burrowes,2,3,45,0,0,1.1,0,0,0,0,a,,,0.0,1,0,16,0,0.00,0.00,0.00,0,3,0,
2026-07-27T17:41:44.590079+00:00,2026-07-27,51,George Hemmings,2,3,45,0,0,0.2,0,0,0,0,a,,,0.0,2,0,25,0,0.04,0.01,0.05,0,5,0,
2026-07-27T17:41:44.590079+00:00,2026-07-27,52,Alysson,2,3,50,0,0,0.0,0,0,0,0,a,,,0.0,3,0,47,0,0.05,0.05,0.10,0,11,0,
